,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1039,CHEMBL4469272,C[C@](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccccc1)(C(N)=O)c1ccccc1,active,552.68,0.17897,8,6,6.22184875
1042,CHEMBL3741422,N=C(N)NCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccccc2)cc1,active,644.777,1.58387,8,7,6.397940009
1057,CHEMBL1324,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,active,273.244,2.54542,2,5,6.193820026
1065,CHEMBL4447800,Cc1ccc2nc(-c3ccc4nc(-c5ccc(NC(=O)c6ccc7nc(-c8ccc(N)cc8)sc7c6)cc5)sc4c3)sc2c1S(=O)(=O)O.N,active,722.899,9.06832,4,11,6.301029996
1070,CHEMBL4440832,O=C(Nc1nc2cc(O)c(O)cc2s1)c1ccccc1Oc1ccc2cc(O)ccc2c1,active,444.468,5.6109,4,7,6.004364805
1072,CHEMBL3741422,N=C(N)NCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccccc2)cc1,active,644.777,1.58387,8,7,6.167491087
1101,CHEMBL4633312,N=C(N)Nc1ccc(CNC(=O)[C@@H](NC(=O)Cc2ccc(-c3ccccc3)cc2)c2ccc(OCc3c(Cl)cccc3Cl)cc2)cc1.O=C(O)C(F)(F)F,active,780.631,7.89447,6,5,6.26760624
0,CHEMBL1401841,COc1ccc2nc3cccc(OC)c3nc2c1,inactive,240.262,2.8002,0,4,4
1,CHEMBL1608853,O=C(O)c1ccc2c(c1)C(=O)/C(=C\c1ccco1)C2=O,inactive,268.224,2.4404,1,4,4.909741947
2,CHEMBL1429799,O=C1NN(c2ccccc2)C(=O)/C1=C\c1ccccc1OCC(=O)N1CCOCC1,inactive,407.426,1.3856,1,5,4
3,CHEMBL246446,O=C(O)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,inactive,306.277,3.848,1,5,4.292685366
4,CHEMBL1383455,CCn1nc([N+](=O)[O-])c(C(C#N)c2nc3ccccc3n2C)c(Cl)c1=O,inactive,372.772,2.36698,0,8,4
5,CHEMBL1485159,C[n+]1c2ccccc2nc2ccc(NCCO)cc21.[O-][Cl+3]([O-])([O-])[O-],inactive,353.762,-3.1393,2,7,4.729554092
6,CHEMBL1383611,C=CCOc1c(Br)cc(/C=C2/C(=O)ON=C2C)cc1OC,inactive,352.184,3.3386,0,5,4
7,CHEMBL1730401,Nc1cccc2c(O)cc(S(=O)(=O)O)cc12,inactive,239.252,1.3743,3,4,4.369165482
8,CHEMBL1440986,O=C(Nc1ccccc1C(=O)O)c1cccc(C(=O)Nc2ccccc2C(=O)O)c1,inactive,404.378,3.5876,4,4,4.260427656
9,CHEMBL3194058,CCOc1cc(/C=N/NC2=NC(=O)C(CC(=O)O)S2)ccc1OCc1ccc(Cl)cc1,inactive,461.927,3.7139,2,7,4.31930197
10,CHEMBL66953,O=c1c(O)cccc2cc(O)c(O)c(O)c12,inactive,220.18,1.0224,4,5,4.913996294
11,CHEMBL1586109,COC(=O)c1ccc(N2NC(=O)/C(=C/c3cc(OC)c(OC)c(OC)c3)C2=O)cc1,inactive,412.398,1.9604,1,7,4.331334585
12,CHEMBL3194143,O=C(O)c1ccc(Cl)c(-c2ccc(/C=N/NC(=O)C(O)(c3ccccc3)c3ccccc3)o2)c1,inactive,474.9,4.6844,3,5,4.288024146
13,CHEMBL1318358,O=C(CN1C(=O)/C(=C2/SC(=S)N(CCS(=O)(=O)O)C2=O)c2ccccc21)Nc1cccc(C(F)(F)F)c1,inactive,571.58,3.1499,2,7,4.451856363
14,CHEMBL1373390,O=C(O)c1ccc2c(c1Nc1ccccc1)C(=O)c1ccccc1C2=O,inactive,343.338,3.9038,2,4,4
15,CHEMBL173530,COc1cc(C)c2c(c1C=O)Oc1c(c(C)c(O)c3c1C(O)OC3=O)OC2=O,inactive,386.312,2.31634,2,9,4.147703034
16,CHEMBL1310601,CC(=C\c1ccccc1)/C=C1/SC(=S)N(C(C(=O)O)C(C)C)C1=O,inactive,361.488,3.9433,1,4,4.467372999
17,CHEMBL305978,c1coc(-c2nc3ccccc3nc2-c2ccco2)c1,inactive,262.268,4.1498,0,4,4
